"";"totalRNA";"translRNA";"TE";"symbol"
"988";"4.41";"1.555";"0.352607709750567";"Tek"
"989";"0";"0";"NaN";"Mpl"
"990";"11.615";"8.83";"0.760223848471804";"Elovl1"
"991";"43.86";"0";"0";"Med8"
"992";"26.98";"425.835";"15.7833580429948";"Cdc20"
"993";"0.87";"1.725";"1.98275862068966";"Adamts4"
"994";"0";"0";"NaN";"Nectin4"
"995";"30.045";"87.825";"2.92311532700949";"Pfdn2"
"996";"130.345";"325.49";"2.49714219954736";"Rnf114"
"997";"13.28";"5.87";"0.442018072289157";"Steep1"
"998";"0.165";"9.35";"56.6666666666667";"Neurl1a"
"999";"7.845";"1.2";"0.152963671128107";"Srm"
"1000";"0.04";"0";"0";"Epha2"
"1001";"11.89";"52.475";"4.41337258200168";"Rbm14"
"1002";"5.71";"3.725";"0.652364273204904";"Actn3"
"1003";"3.34";"6.195";"1.85479041916168";"Zdhhc24"
"1004";"0.03";"0";"0";"Bbs1"
"1005";"0";"0";"NaN";"Slc34a3"
"1006";"2.91";"4.565";"1.56872852233677";"Ndor1"
"1007";"0.215";"0";"0";"Nsmf"
"1008";"0.265";"0";"0";"Prl7a1"
"1009";"4.71";"0";"0";"Prl8a9"
"1010";"10.335";"11.86";"1.14755684567005";"Pdk1"
"1011";"124.395";"549.215";"4.4150890309096";"Ptbp1"
"1012";"1.27";"0";"0";"Mvd"
"1013";"0";"0";"NaN";"Cyba"
"1014";"0.025";"0";"0";"Itih3"
"1015";"0.64";"0";"0";"Stimate"
"1016";"267.505";"268.575";"1.00399992523504";"Sfmbt1"
"1017";"0";"0";"NaN";"Itih1"
"1018";"0.05";"0";"0";"Ihh"
"1019";"0.01";"0";"0";"Prkag3"
"1020";"0.055";"0";"0";"Cryba2"
"1021";"0.08";"0";"0";"Atp7b"
"1022";"0";"0";"NaN";"Defb2"
"1023";"0.02";"0";"0";"Slc4a1"
"1024";"0.145";"0";"0";"Rundc3a"
"1025";"0.12";"0";"0";"Slc4a3"
"1026";"62.335";"97.15";"1.55851447822251";"Cdt1"
"1027";"48.97";"13.335";"0.27230957729222";"Runx1t1"
"1028";"7.75";"15.57";"2.00903225806452";"Snai3"
"1029";"1.49";"0";"0";"Aprt"
"1030";"47.855";"31.76";"0.663671507679448";"Gtf2h1"
"1031";"0";"0";"NaN";"Hfe"
"1032";"1.145";"7.555";"6.59825327510917";"Slc5a6"
"1033";"0";"0";"NaN";"Tcf23"
"1034";"0";"0";"NaN";"Nphs1"
"1035";"0.04";"0.975";"24.375";"Aplp1"
"1036";"26.91";"6.115";"0.227238944630249";"Qrich1"
"1037";"0.05";"0";"0";"P4htm"
"1038";"141.575";"1132.005";"7.99579728059333";"Usp19"
"1039";"43.235";"54.955";"1.27107667399098";"Pola1"
"1040";"77.86";"113.255";"1.4545979964038";"Cdc42"
"1041";"1.91";"0";"0";"Pknox1"
"1042";"0.14";"0";"0";"D130043K22Rik"
"1043";"78.58";"354.735";"4.51431662000509";"Gmnn"
"1044";"25.32";"0";"0";"Acot13"
"1045";"8.93";"7.66";"0.857782754759239";"Zfp184"
"1046";"0.17";"0";"0";"Cyp27b1"
"1047";"2.59";"0";"0";"Cdk4"
"1048";"0.015";"0";"0";"B4galnt1"
"1049";"1.74";"0";"0";"Mettl1"
"1050";"4.88";"0";"0";"Tspan31"
"1051";"20.3";"14.17";"0.698029556650246";"Kif5b"
"1052";"0.705";"0";"0";"Saal1"
"1053";"7.14";"39.225";"5.4936974789916";"Tph2"
"1054";"0";"0";"NaN";"Krt23"
"1055";"0.225";"0";"0";"Cnp"
"1056";"0.085";"0";"0";"Odad4"
"1057";"12.505";"4.515";"0.361055577768892";"Sulf2"
"1058";"13.395";"93.58";"6.98618887644644";"Sod2"
"1059";"0.95";"27.815";"29.2789473684211";"Tmco6"
"1060";"12.15";"11.765";"0.968312757201646";"Stambp"
"1061";"27.04";"97.085";"3.59042159763314";"Ezh1"
"1062";"0.265";"0";"0";"Hap1"
"1063";"0.015";"0.98";"65.3333333333333";"P3h4"
"1064";"179.925";"722.575";"4.01597888008893";"Ctnnb1"
"1065";"236.56";"222.68";"0.941325667906662";"Eif1b"
"1066";"0.055";"0";"0";"Klk4"
"1067";"0.02";"0";"0";"Chrd"
"1068";"41.825";"173.03";"4.13699940227137";"Psmd2"
"1069";"3.125";"1.615";"0.5168";"Syngr3"
"1070";"1.88";"38.215";"20.3271276595745";"Vars1"
"1071";"0.145";"0";"0";"Vwa7"
"1072";"0.08";"0";"0";"Hspa1l"
"1073";"1.25";"0";"0";"Slc44a4"
"1074";"0.425";"0";"0";"Msh5"
"1075";"7.115";"34.085";"4.79058327477161";"Abhd16a"
"1076";"0.34";"0";"0";"Neu1"
"1077";"0.16";"0";"0";"Ddah2"
"1078";"0.2";"0";"0";"Clic1"
"1079";"23.715";"95.38";"4.02192705039005";"Lsm2"
"1080";"2.045";"0";"0";"Pole"
"1081";"0";"0";"NaN";"Atp1a2"
"1082";"0.01";"0";"0";"Atp1a4"
"1083";"0";"0";"NaN";"Casq1"
"1084";"0.885";"0";"0";"Stx1a"
"1085";"0.025";"0";"0";"Ceacam9"
"1086";"0.585";"0";"0";"Zfp775"
"1087";"0.035";"1.195";"34.1428571428571";"Scube2"
"1088";"0.93";"0";"0";"Mrpl49"
"1089";"0.165";"0.96";"5.81818181818182";"Dennd2c"
"1090";"6.61";"11.47";"1.73524962178517";"Mark3"
"1091";"7.87";"0";"0";"Gatad1"
"1092";"0";"0";"NaN";"Pcdha10"
"1093";"1.97";"0";"0";NA
"1094";"11.245";"0.33";"0.0293463761671854";"M6pr"
"1095";"13.68";"0";"0";"Lrrc8a"
"1096";"0.115";"0";"0";"Mc5r"
"1097";"32.42";"205.96";"6.35286859962986";"Ppp2r1a"
"1098";"2.4";"19.74";"8.225";"Fance"
"1099";"32.535";"48.22";"1.48209620408791";"Tinf2"
"1100";"0";"0";"NaN";"Tssk4"
"1101";"0.025";"0";"0";"Hapln4"
"1102";"3.69";"0";"0";"Dus3l"
"1103";"1.335";"4.51";"3.37827715355805";"Gtpbp3"
"1104";"6.3";"1.155";"0.183333333333333";"Tgfbr1"
"1105";"16.825";"11.185";"0.664784546805349";"Homer1"
"1106";"22.095";"3.98";"0.180131251414347";"Rad51c"
"1107";"0.25";"0";"0";"Gabrb2"
"1108";"0.09";"0";"0";"Cav1"
"1109";"93.835";"147.01";"1.56668620450791";"Arpp19"
"1110";"70.01";"65.725";"0.938794457934581";"Bcl2l1"
"1111";"49.735";"93.05";"1.87091585402634";"Khsrp"
