"","x"
"3332","Gpr37l1"
"3333","Srgap2"
"3334","Arl8a"
"3335","Eif2d"
"3336","Ube2t"
"3337","Rassf5"
"3338","Nucks1"
"3339","Slc45a3"
"3340","Elk4"
"3341","Rbbp5"
"3342","Pik3c2b"
"3343","Klhl12"
"3344","Myog"
"3345","Atp2b4"
"3346","Tor1aip1"
"3347","Lhx4"
"3348","Xpr1"
"3349","Stx6"
"3350","Mr1"
"3351","Glul"
"3352","Rgs16"
"3353","Lamc1"
"3354","Lamc2"
"3355","Niban1"
"3356","Rnf2"
"3357","Cdc42bpa"
"3358","Ahctf1"
"3359","Tfb2m"
"3360","Parp1"
"3361","Acbd3"
"3362","Desi2"
"3363","Srp9"
"3364","Cnih3"
"3365","Nvl"
"3366","Pycr2"
"3367","Opn3"
"3368","Fh1"
"3369","Mptx1"
"3370","Apcs"
"3371","Copa"
"3372","Dcaf8"
"3373","Vangl2"
"3374","Uck2"
"3375","Tada1"
"3376","Pou2f1"
"3377","Mpzl1"
"3378","Tbx19"
"3379","Dpt"
"3380","Nme7"
"3381","Atp1b1"
"3382","Blzf1"
"3383","Ccdc181"
"3384","F5"
"3385","Selp"
"3386","Scyl3"
"3387","Prrx1"
"3388","Ralgps2"
"3389","Abl2"
"3390","Soat1"
"3391","Axdnd1"
"3392","Smyd2"
"3393","Cenpf"
"3394","Kctd3"
"3395","Ush2a"
"3396","Esrrg"
"3397","Eprs1"
"3398","Iars2"
"3399","Nek2"
"3400","Lpgat1"
"3401","Ppp2r5a"
"3402","Tatdn3"
"3403","Angel2"
"3404","Plxna2"
"3405","Nmt2"
"3406","Olah"
"3407","Suv39h2"
"3408","Dclre1c"
"3409","Fam107b"
"3410","Frmd4a"
"3411","Dusp12"
"3412","Sephs1"
"3413","Atf6"
"3414","Uhmk1"
"3415","Ucma"
"3416","Mcm10"
"3417","Uap1"
"3418","Optn"
"3419","Hsd17b7"
"3420","Nuf2"
"3421","Aldh9a1"
"3422","Mgst3"
"3423","Fmo3"
"3424","Fmo4"
"3425","Vamp4"
"3426","Pigc"
"3427","Tnfsf4"
"3428","Prdx6"
"3429","Klhl20"
"3430","Mrc1"
"3431","Stam"
"3432","Rabgap1l"
"3433","Trdmt1"
"3434","Tnn"
"3435","Rsu1"
"3436","Vim"
"3437","Pter"
"3438","4921504E06Rik"
"3439","Bmi1"
"3440","Dnajc1"
"3441","Mllt10"
"3442","Plxdc2"
"3443","Psmb7"
"3444","Ppp6c"
"3445","Arpc5l"
"3446","Orc4"
"3447","Kif5c"
"3448","Mmadhc"
"3449","Mindy3"
"3450","Itga8"
"3451","Spopl"
"3452","Yme1l1"
"3453","Mastl"
"3454","Acbd5"
"3455","Odf2"
"3456","Stxbp1"
"3457","Med27"
"3458","Barhl1"
"3459","Spaca9"
"3460","Dpm2"
"3461","Tsc1"
"3462","Gtf3c5"
"3463","Ak1"
"3464","Ptges2"
"3465","Ralgds"
"3466","Lcn2"
"3467","Kcnj3"
"3468","Gpd2"
"3469","Galnt5"
"3470","Gbgt1"
"3471","Ermn"
"3472","Cytip"
"3473","Olfm1"
"3474","Fcnb"
"3475","Col5a1"
"3476","Lamc3"
"3477","Abl1"
"3478","Fubp3"
"3479","Tor1a"
"3480","BC005624"
"3481","Crat"
"3482","Hspa5"
"3483","Gapvd1"
"3484","Psmd5"
"3485","Cutal"
"3486","Phf19"
"3487","Rab14"
"3488","Stom"
"3489","Ttll11"
"3490","Mrrf"
"3491","Rbm18"
"3492","Gca"
"3493","Ifih1"
"3494","Psmd14"
"3495","Strbp"
"3496","Wdr5"
"3497","Brd3"
"3498","Lcn4"
"3499","Egfl7"
"3500","Agpat2"
"3501","Sec16a"
"3502","Entr1"
"3503","Spmip5"
"3504","Nacc2"
"3505","Camsap1"
"3506","Lhx3"
"3507","Lcn3"
"3508","Lcn5"
"3509","Ccdc183"
"3510","Lcn12"
"3511","Neb"
"3512","Arl6ip6"
"3513","Lrrc26"
"3514","Anapc2"
"3515","Ssna1"
"3516","Cimip2a"
"3517","Rbms1"
"3518","Arrdc1"
"3519","Zmynd19"
"3520","Marchf7"
"3521","Il1rn"
"3522","Il36rn"
"3523","Il36b"
"3524","Hnmt"
"3525","Baz2b"
"3526","Pkp4"
"3527","Galnt3"
"3528","Nup35"
"3529","Dusp19"
"3530","Nckap1"
"3531","Itprid2"
"3532","Slc25a12"
"3533","Ube2e3"
"3534","Dync1i2"
"3535","Cwc22"
"3536","Hat1"
"3537","Cers6"
"3538","Ssrp1"
"3539","Lrp2"
"3540","Prg3"
"3541","Prg2"
"3542","Slc43a3"
"3543","Timm10"
"3544","Ube2l6"
"3545","Clp1"
"3546","Med19"
"3547","Fastkd1"
"3548","Phospho2"
"3549","Zc3h15"
"3550","Atf2"
"3551","Chrna1"
"3552","Ola1"
"3553","Sp3"
"3554","Itga6"
"3555","Kif18a"
"3556","Arl14ep"
"3557","Slc12a6"
"3558","Emc4"
"3559","Katnbl1"
"3560","Lpcat4"
"3561","Potefam1"
"3562","Ccdc34"
"3563","Lin7c"
"3564","Commd9"
"3565","Traf6"
"3566","Elp4"
"3567","Pax6"
"3568","Depdc7"
"3569","Cstf3"
"3570","Hipk3"
"3571","Fbxo3"
"3572","Caprin1"
"3573","Nat10"
"3574","Trim44"
"3575","Api5"
"3576","Ttc17"
"3577","Hsd17b12"
"3578","Gatm"
"3579","Sema6d"
"3580","Myef2"
"3581","Dut"
"3582","Cops2"
"3583","Galk2"
"3584","Meis2"
"3585","Cd82"
"3586","Slc28a2"
"3587","Chst1"
"3588","Mapk8ip1"
"3589","Duoxa1"
"3590","Patl2"
"3591","Eif3j1"
"3592","Frmd5"
"3593","Wdr76"
"3594","Hypk"
"3595","Ell3"
"3596","Pdia3"
"3597","Map1a"
"3598","Hao1"
"3599","Tubgcp4"
"3600","Ubr1"
"3601","Jag1"
"3602","Slx4ip"
"3603","Mtch2"
"3604","Cdan1"
"3605","Lrrc57"
"3606","Snap23"
"3607","Zfp106"
"3608","Vps39"
"3609","Ehd4"
"3610","Itpka"
"3611","Ltk"
"3612","Oxt"
"3613","Ptpra"
"3614","Rtf1"
"3615","Nusap1"
"3616","Dnaaf9"
"3617","Atrn"
"3618","Spint1"
"3619","Gfra4"
"3620","Adam33"
"3621","Rad51"
"3622","Rpusd2"
"3623","Knl1"
"3624","Cdc25b"
"3625","Knstrn"
"3626","Ivd"
"3627","Smox"
"3628","Adra1d"
"3629","Slc23a2"
"3630","Tmem230"
"3631","Pcna"
"3632","Gpcpd1"
"3633","Rasgrp1"
"3634","Fam98b"
"3635","Spred1"
"3636","Mcm8"
"3637","Crls1"
"3638","Bmp2"
"3639","Gabpb1"
"3640","Usp8"
"3641","Trpm7"
"3642","Sppl2a"
"3643","Stard7"
"3644","Mrps5"
"3645","Prom2"
"3646","Nphp1"
"3647","Bub1"
"3648","Bcl2l11"
"3649","Zc3h8"
"3650","Polr1b"
"3651","Slc20a1"
"3652","Il1b"
"3653","Snrpb"
"3654","Nop56"
"3655","1700020A23Rik"
"3656","Lpin3"
"3657","Otor"
"3658","Rrbp1"
"3659","Snx5"
"3660","Mgme1"
"3661","Kat14"
"3662","Polr3f"
"3663","Rbbp9"
"3664","Sec23b"
"3665","Scp2d1"
"3666","Xrn2"
"3667","Nkx2-2"
"3668","Gzf1"
"3669","Cst8"
"3670","Cst12"
"3671","Cstdc1"
"3672","Cst3"
"3673","Acss1"
"3674","Nsfl1c"
"3675","Slc52a3"
"3676","Defb22"
"3677","Tpx2"
"3678","Pdrg1"
"3679","Kif3b"
"3680","Dnmt3b"
"3681","Mapre1"
"3682","Sun5"
"3683","Bpifb2"
"3684","Bpifa3"
"3685","Bpifa1"
"3686","Bpifa5"
"3687","Bpifb1"
"3688","Snta1"
"3689","E2f1"
"3690","Fam210b"
"3691","Aurka"
"3692","Cstf1"
"3693","Rtf2"
"3694","Tpd52"
"3695","Pag1"
"3696","Rae1"
"3697","Rbm38"
"3698","Zbp1"
"3699","Ankrd60"
"3700","Rab22a"
"3701","Zdbf2"
"3702","Stx16"
"3703","Gnas"
"3704","Phactr3"
"3705","Fabp12"
"3706","Fabp5"
"3707","Snx16"
"3708","Nfatc2"
"3709","Atp9a"
"3710","Sall4"
"3711","Lrrcc1"
"3712","Zfp64"
"3713","E2f5"
"3714","Car13"
"3715","Cypt12"
"3716","Psma7"
"3717","Mrgbp"
"3718","Gid8"
"3719","Nkain4"
"3720","Arfgap1"
"3721","Zgpat"
"3722","Zbtb46"
"3723","Pcmtd2"
"3724","Raly"
"3725","a"
"3726","Ahcy"
"3727","Itch"
"3728","Armc1"
"3729","Mtfr1"
"3730","Map1lc3a"
"3731","Ggt7"
"3732","Mmp24"
"3733","Eif6"
"3734","Hps3"
"3735","Nfs1"
"3736","Rbm39"
"3737","Aar2"
"3738","Tbl1xr1"
"3739","Dsn1"
"3740","Rab5if"
"3741","Samhd1"
"3742","Rbl1"
"3743","Ctnnbl1"
"3744","Tti1"
"3745","Rprd1b"
"3746","Ralgapb"
"3747","Fam83d"
"3748","Dhx35"
"3749","Ccn5"
"3750","Slc2a10"
"3751","Pik3ca"
"3752","Zfp639"
"3753","Mfn1"
"3754","Gnb4"
"3755","Actl6a"
"3756","Ncoa3"
"3757","Fxr1"
"3758","Pld1"
"3759","Nceh1"
"3760","Ect2"
"3761","Lrrc34"
"3762","Sec62"
"3763","Dcun1d1"
"3764","Mccc1"
"3765","Acad9"
"3766","Anxa5"
"3767","Exosc9"
"3768","Ccna2"
"3769","Il21"
"3770","Adad1"
"3771","Il2"
"3772","Afg2a"
"3773","Slc7a11"
"3774","Rab33b"
"3775","Cog6"
"3776","Ufm1"
"3777","Trpc4"
"3778","Supt20"
"3779","Exosc8"
"3780","Sucnr1"
"3781","Dhx36"
"3782","Gfm1"
"3783","Mfsd1"
"3784","Ift80"
"3785","Kpna4"
"3786","Nmd3"
"3787","Sis"
"3788","Bche"
"3789","Ccna1"
"3790","Sohlh2"
"3791","Nbea"
"3792","Wwtr1"
"3793","Ppid"
"3794","Pfn2"
"3795","Tsc22d2"
"3796","Serp1"
"3797","Eif2a"
"3798","Slc33a1"
"3799","Gmps"
"3800","Vmn2r1"
"3801","Kcnab1"
"3802","Ssr3"
"3803","Ccnl1"
"3804","Ptx3"
"3805","Serpini1"
"3806","Ptpn22"
"3807","Nras"
"3808","Sycp1"
"3809","Ngf"
"3810","Ptgfrn"
"3811","Gdap2"
"3812","Hao2"
"3813","Reg4"
"3814","Notch2"
"3815","Sec22b"
"3816","Prpf38b"
"3817","Clcc1"
"3818","Cfap276"
"3819","Ampd2"
"3820","Ahcyl1"
"3821","Dram2"
"3822","Dennd2d"
"3823","Chil6"
"3824","Ddx20"
"3825","Lce1m"
"3826","Crct1"
"3827","Lce1g"
"3828","Lce1b"
"3829","Sprr2j-ps"
"3830","Lelp1"
"3831","Npr1"
"3832","Ints3"
"3833","Crtc2"
"3834","Creb3l4"
"3835","Tpm3"
"3836","4933434E20Rik"
"3837","Hax1"
"3838","Adar"
"3839","Slc35a3"
"3840","Col11a1"
"3841","Larp7"
"3842","Ndst4"
"3843","1700006A11Rik"
"3844","Ndst3"
"3845","Rnpc3"
"3846","Hadh"
"3847","Lef1"
"3848","Mcub"
"3849","Tlr2"
"3850","Plrg1"
"3851","Pla2g12a"
"3852","Lrat"
"3853","Snx7"
"3854","Asic5"
"3855","Gar1"
"3856","Ppa2"
"3857","Ctso"
"3858","Ints12"
"3859","Egf"
"3860","Gstcd"
"3861","Tbck"
"3862","Dkk2"
"3863","Papss1"
"3864","Fubp1"
"3865","Dnajb4"
"3866","Efna4"
"3867","Zbtb7b"
"3868","Cks1b"
"3869","Scamp3"
"3870","Ash1l"
"3871","Rit1"
"3872","Arhgef2"
"3873","Khdc4"
"3874","Lamtor2"
"3875","Lmna"
"3876","Pmf1"
"3877","Iqgap3"
"3878","Naxe"
"3879","Pear1"
"3880","Cd1d1"
"3881","Dclk2"
"3882","Lrba"
"3883","Rps3a1"
"3884","Sh3d19"
"3885","Fbxw7"
"3886","Fmo5"
"3887","Chd1l"
"3888","Acp6"
"3889","Gpr89"
"3890","Rnf115"
"3891","Polr3gl"
"3892","Rprd2"
"3893","Mettl14"
"3894","Myoz2"
"3895","Bcar3"
"3896","Gclm"
"3897","Pip5k1a"
"3898","Abcd3"
"3899","F3"
"3900","Ptbp2"
"3901","Snx27"
"3902","Celf3"
"3903","Adh5"
"3904","Mrpl9"
"3905","Rap1gds1"
"3906","Tspan5"
"3907","Eif4e"
"3908","Dapp1"
"3909","Ppp3ca"
"3910","Manba"
"3911","Cisd2"
"3912","Wls"
"3913","Cth"
"3914","Zranb2"
"3915","Lrriq3"
"3916","Adgrl2"
"3917","Rpf1"
"3918","Spata1"
"3919","Bcl10"
"3920","Ddah1"
"3921","Col24a1"
"3922","Asph"
"3923","Trp53inp1"
"3924","Ccne2"
"3925","Gem"
"3926","Cibar1"
"3927","Pip4p2"
"3928","Calb1"
"3929","Nbn"
"3930","Tmem68"
"3931","Tgs1"
"3932","Sdr16c5"
"3933","Ubxn2b"
"3934","Coq3"
"3935","Pnisr"
"3936","Sdcbp"
"3937","Odf2l"
"3938","Ndufaf4"
"3939","Lmo4"
"3940","Gbp2"
"3941","Gtf2b"
"3942","Pdlim5"
"3943","Rngtt"
"3944","Ube2j1"
"3945","Casp8ap2"
"3946","Map3k7"
"3947","1700009N14Rik"
"3948","Akirin2"
"3949","Rars2"
"3950","Slc35a1"
"3951","Cfap206"
"3952","Rnf20"
"3953","Smc2"
"3954","Exosc3"
"3955","Ncbp1"
"3956","Trmo"
"3957","Anp32b"
"3958","Coro2a"
"3959","Nr4a3"
"3960","Erp44"
"3961","Tex10"
"3962","Brinp1"
"3963","Fmn2"
"3964","Ambp"
"3965","Kif12"
"3966","Zfp618"
"3967","Orm3"
"3968","Txn1"
"3969","Ugcg"
"3970","Ptbp3"
"3971","Hsdl2"
"3972","Bspry"
"3973","Pole3"
"3974","2310002L09Rik"
"3975","Dmac1"
"3976","Ptprd"
"3977","Mpdz"
"3978","Zdhhc21"
"3979","Aco1"
"3980","Smu1"
"3981","Dnaja1"
"3982","Aptx"
"3983","Slc44a1"
"3984","B4galt1"
"3985","Spink4"
"3986","Chmp5"
"3987","Tmem38b"
"3988","Nfx1"
"3989","Rad23b"
"3990","Aqp7"
"3991","Nol6"
"3992","Elp1"
"3993","Ubap2"
"3994","Epb41l4b"
"3995","Dcaf12"
"3996","Ubap1"
"3997","Kif24"
"3998","Spmip6"
"3999","Dctn3"
"4000","Spata31g1"
"4001","Vcp"
"4002","Fancg"
"4003","Pigo"
"4004","Stoml2"
"4005","Unc13b"
"4006","Tesk1"
"4007","Car9"
"4008","Rgp1"
"4009","Clta"
"4010","Snapc3"
"4011","Psip1"
"4012","Bnc2"
"4013","Sh3gl2"
"4014","Rps6"
"4015","Mllt3"
"4016","Usp24"
"4017","Plpp3"
"4018","Prkaa2"
"4019","Dab1"
"4020","4921539E11Rik"
"4021","Ak4"
"4022","Jak1"
"4023","Cachd1"
"4024","Izumo3"
"4025","B4galt2"
"4026","Slc6a9"
"4027","Bend5"
"4028","Elavl4"
"4029","Eps15"
"4030","Dock7"
"4031","Calr4"
"4032","Osbpl9"
"4033","Usp1"
"4034","Tm2d1"
"4035","Btf3l4"
"4036","Cyp2j13"
"4037","Hook1"
"4038","Eqtn"
"4039","Ift74"
"4040","Plaa"
"4041","Pum1"
"4042","Pdpn"
"4043","Orc1"
"4044","Cfap107"
"4045","Pramel13"
"4046","Scp2"
"4047","Cpt2"
"4048","Czib"
"4049","Magoh"
"4050","Dmrtb1"
"4051","Lrp8"
"4052","Ndc1"
"4053","Lrrc42"
"4054","Tmem59"
"4055","Mrpl37"
"4056","Col9a2"
"4057","Exo5"
"4058","Ctps1"
"4059","Hivep3"
"4060","Edn2"
"4061","Ccdc30"
"4062","Ybx1"
"4063","Tfap2c"
"4064","Slc2a1"
"4065","Rragc"
"4066","Mycbp"
"4067","Ndufs5"
"4068","Macf1"
"4069","Trit1"
"4070","Mfsd2a"
"4071","Cap1"
"4072","Ppt1"
"4073","Ephb2"
"4074","Eloa"
"4075","Pithd1"
"4076","Lypla2"
"4077","Srsf10"
"4078","Rnf220"
"4079","Kif2c"
"4080","Plk3"
"4081","Eif2b3"
"4082","Urod"
"4083","Mutyh"
"4084","Toe1"
"4085","Prdx1"
"4086","Akr1a1"
"4087","Nasp"
"4088","Ipp"
"4089","Pik3r3"
"4090","Lurap1"
"4091","Rad54l"
"4092","Lrrc41"
"4093","Nsun4"
"4094","Atpaf1"
"4095","Cyp4a31"
"4096","Cyp4b1"
"4097","Cyp4a14"
"4098","Pdzk1ip1"
"4099","Stil"
"4100","Cmpk1"
"4101","Ebna1bp2"
"4102","Pax7"
"4103","Aldh4a1"
"4104","Mrto4"
"4105","Capzb"
"4106","Pla2g2f"
"4107","Pla2g2c"
"4108","Pla2g2e"
"4109","Vwa5b1"
"4110","Ddost"
"4111","Kif17"
"4112","Hp1bp3"
"4113","Eif4g3"
"4114","Zcchc17"
"4115","Hcrtr1"
"4116","Spocd1"
"4117","Hpca"
"4118","Ptp4a2"
"4119","Khdrbs1"
"4120","Ak2"
"4121","Rnf19b"
"4122","Phc2"
"4123","Eif3i"
"4124","Hdac1"
"4125","Nipal3"
"4126","Srrm1"
"4127","CK137956"
"4128","Sfpq"
"4129","Syf2"
"4130","Rhd"
"4131","Maco1"
"4132","AU040320"
"4133","Slc30a2"
"4134","Psmb2"
"4135","Ago3"
"4136","Sh3bgrl3"
"4137","Tekt2"
"4138","Trappc3"
"4139","Gpn2"
"4140","Nudc"
"4141","Slc9a1"
"4142","Tmem222"
"4143","Sytl1"
"4144","Map3k6"
"4145","Meaf6"
"4146","Cd164l2"
"4147","Wasf2"
"4148","Gnl2"
"4149","Rspo1"
"4150","Cdca8"
"4151","Stx12"
"4152","Ppp1r8"
"4153","Rpa2"
"4154","Eya3"
"4155","Yrdc"
"4156","Mtf1"
"4157","Sesn2"
"4158","Inpp5b"
"4159","Rcc1"
"4160","Trnau1ap"
"4161","Taf12"
"4162","Gmeb1"
"4163","Sf3a3"
"4164","Epb41"
"4165","Ptpru"
"4166","Mecr"
"4167","Srsf4"
"4168","Plekhm2"
"4169","Arhgef19"
"4170","Fbxo42"
"4171","Necap2"
"4172","Psmc2"
"4173","Xrcc2"
"4174","Rpl22"
"4175","Acot7"
"4176","Hes2"
"4177","Espn"
"4178","Rheb"
"4179","Nol9"
"4180","Abcf2"
"4181","Nub1"
"4182","Vamp3"
"4183","Per3"
"4184","Ube4b"
"4185","Pgd"
"4186","Slc4a2"
"4187","Uts2"
"4188","Park7"
"4189","Errfi1"
"4190","Abcb1b"
"4191","Car6"
"4192","Abcb8"
"4193","Pex14"
"4194","Casz1"
"4195","Masp2"
"4196","Klhl7"
"4197","Ctnnbip1"
"4198","Angptl7"
"4199","Lzic"
"4200","Mtor"
"4201","Tomm7"
"4202","Rint1"
"4203","Fbxo44"
"4204","Mad2l2"
"4205","Orc5"
"4206","Dnajc2"
"4207","Slc26a5"
"4208","Clcn6"
"4209","Nppb"
"4210","Miip"
"4211","Lrrc47"
"4212","Tprg1l"
"4213","Arhgef16"
"4214","Acap3"
"4215","Ints11"
"4216","Atad3a"
"4217","Ssu72"
"4218","Rer1"
"4219","Ski"
"4220","Gabrd"
"4221","Mib2"
"4222","Cdk11b"
"4223","Nadk"
"4224","Gnb1"
"4225","Ccnl2"
"4226","Mxra8"
"4227","Sdf4"
"4228","Bst1"
"4229","Cd38"
"4230","Pacrgl"
"4231","Adgra3"
"4232","Afap1"
"4233","Ablim2"
"4234","Acox3"
"4235","Hgfac"
"4236","Lrpap1"
"4237","Htt"
"4238","Add1"
"4239","Rnf4"
"4240","Nelfa"
"4241","Stk32b"
"4242","Zbtb49"
"4243","Rab28"
"4244","Rnf32"
"4245","Dnajb6"
"4246","Slc4a1ap"
"4247","Eif2b4"
"4248","Nrbp1"
"4249","Krtcap3"
"4250","Slc30a3"
"4251","Ociad1"
"4252","Ociad2"
"4253","Spata18"
"4254","Sgcb"
"4255","Agbl5"
"4256","Dpysl5"
"4257","Dhx15"
"4258","Pgm2"
"4259","Sepsecs"
"4260","Tbc1d1"
"4261","Slc35f6"
"4262","Anapc4"
"4263","Cenpa"
"4264","Zcchc4"
"4265","Cimip2c"
"4266","Slc34a2"
"4267","Rfc1"
"4268","Tbc1d14"
"4269","Tada2b"
"4270","Lias"
"4271","Ugdh"
"4272","Pds5a"
"4273","Ube2k"
"4274","Rhoh"
"4275","Apbb2"
"4276","Guf1"
"4277","Gnpda2"
"4278","Gabra4"
"4279","Gabrb1"
"4280","Slc30a9"
"4281","Uchl1"
"4282","Fip1l1"
"4283","Chic2"
"4284","Pdgfra"
"4285","Srd5a3"
"4286","Tmem165"
"4287","Clock"
"4288","Ppat"
"4289","Paics"
"4290","Spmap2l"
"4291","Rest"
"4292","Polr2b"
"4293","Cenpc1"
"4294","Stap1"
"4295","Ugt2b34"
"4296","Dr1"
"4297","Mtf2"
"4298","Ugt2a2"
"4299","Sult1b1"
"4300","Dipk1a"
"4301","Glmn"
"4302","Brdt"
"4303","Smr3a"
"4304","Smr2"
"4305","Amtn"
"4306","Cdc7"
"4307","Enam"
"4308","Tgfbr3"
"4309","Ambn"
"4310","Zfp326"
"4311","Dmp1"
"4312","Sparcl1"
"4313","Klhl8"
"4314","Aff1"
"4315","Gpat3"
"4316","Coq2"
"4317","Plac8"
"4318","Enoph1"
"4319","Hnrnpdl"
"4320","Cds1"
"4321","Antxr2"
"4322","Crybb1"
"4323","Tfip11"
"4324","Srrd"
"4325","Asphd2"
"4326","Crybb3"
"4327","Tesc"
"4328","Nos1"
"4329","Rfc5"
"4330","Dck"
"4331","Rassf6"
"4332","Ppbp"
"4333","Pf4"
"4334","Cxcl15"
"4335","Mthfd2l"
"4336","Ereg"
"4337","Shroom3"
"4338","Ccng2"
"4339",NA
"4340","Gtf2h3"
"4341","Eif2b1"
"4342","Ddx55"
"4343","Tmed2"
"4344","Cdk2ap1"
"4345","Rchy1"
"4346","Snrnp35"
"4347","Cdkl2"
"4348","Arl6ip4"
"4349","G3bp2"
"4350","Pitpnm2"
"4351","Uso1"
"4352","Abcb9"
"4353","Kntc1"
"4354","Sdad1"
"4355","Slc15a4"
"4356","Rimbp2"
"4357","Rsrc2"
"4358","Piwil1"
"4359","Zcchc8"
"4360","Stx2"
"4361","Ran"
"4362","B3gnt4"
"4363","Nipsnap2"
"4364","Diablo"
"4365","Sfswap"
"4366","Psmd9"
"4367","Psph"
"4368","Cct6a"
"4369","Rhof"
"4370","Pramel27"
"4371","Tmem116"
"4372","Mapkapk5"
"4373","Aldh2"
"4374","Brap"
"4375","Fam168a"
"4376","Vps29"
"4377","Fam216a"
"4378","Arpc3"
"4379","Anapc7"
"4380","Atp2a2"
"4381","Ift81"
"4382","P2rx4"
"4383","Anapc5"
"4384","Rnf34"
"4385","Kdm2b"
"4386","Ncor2"
"4387","Mrpl1"
"4388","Pde6b"
"4389","Pgam5"
"4390","Ankle2"
"4391","Golga3"
"4392","P2rx2"
"4393","Ep400"
"4394","Ulk1"
"4395","Prkab1"
"4396","Cit"
"4397","Rab35"
"4398","Pla2g1b"
"4399","Sirt4"
"4400","1700123K08Rik"
"4401","Pxn"
"4402","St7"
"4403","Triap1"
"4404","Gatc"
"4405","Srsf9"
"4406","Cyp2w1"
"4407","Cabp1"
"4408","Acads"
"4409","Uncx"
"4410","Ints1"
"4411","Psmg3"
"4412","Mad1l1"
"4413","Hnf1a"
"4414","Snx8"
"4415","Tmem168"
"4416","Mmab"
"4417","Ube3b"
"4418","Actb"
"4419","Fscn1"
"4420","Ung"
"4421","Usp30"
"4422","Rbm19"
"4423","Sdsl"
"4424","Ddx54"
"4425","Rita1"
"4426","Dtx1"
"4427","Rph3a"
"4428","Aimp2"
"4429","Eif2ak1"
"4430","Erp29"
"4431","Ccz1"
"4432","1700018F24Rik"
"4433","Arpc1a"
"4434","Arpc1b"
"4435","Pdap1"
"4436","Ptcd1"
"4437","Zkscan14"
"4438","Phf14"
"4439","Cyp3a25"
"4440","Ndufa4"
"4441","Rnf6"
"4442","Cdk8"
"4443","Wasf3"
"4444","Glcci1"
"4445","Polr1d"
"4446","Pan3"
"4447","Flt1"
"4448","Pomp"
"4449","Mtus2"
"4450","N4bp2l2"
"4451","C8b"
"4452","Hsph1"
"4453","Col1a2"
"4454","Tspan12"
"4455","Ing3"
"4456","Fam3c"
"4457","Auts2"
"4458","Limk1"
"4459","Pot1a"
"4460","Hyal4"
"4461","Bcl7b"
"4462","Spam1"
"4463","Lmod2"
"4464","Wasl"
"4465","Cul1"
"4466","Ezh2"
"4467","Aass"
"4468","Ssc4d"
"4469","Cux1"
"4470","Pax4"
"4471","Fscn3"
"4472","Gcc1"
"4473","Ephb4"
"4474","Epo"
"4475","Actl6b"
"4476","Gnb2"
"4477","Pop7"
"4478","Tfr2"
"4479","Pcolce"
"4480","Agfg2"
"4481","Tsc22d4"
"4482","Ppp1r35"
"4483","Mepce"
"4484","Cyp3a13"
"4485","Zkscan1"
"4486","Mcm7"
"4487","Tpk1"
"4488","Nobox"
"4489","Exoc4"
"4490","Plxna4"
"4491","Calu"
"4492","Ccdc136"
"4493","Ahcyl2"
"4494","Klhdc10"
"4495","Hibadh"
"4496","Gars1"
"4497","Tmem209"
"4498","Avl9"
"4499","Cep41"
"4500","Sspo"
"4501","Herc6"
"4502","Herc3"
"4503","Igf2bp3"
"4504","Gpnmb"
"4505","Tra2a"
"4506","Npy"
"4507","Luc7l2"
"4508","Zc3hav1"
"4509","Tmem213"
"4510","Npvf"
"4511","Trim24"
"4512","Cbx3"
"4513","Mtpn"
"4514","Slc23a4"
"4515","Stra8"
"4516","Zyx"
"4517","Fam131b"
"4518","Sval1"
"4519","Kel"
"4520","Llcfc1"
"4521","Ephb6"
"4522","Ccdc184"
"4523","Prss3b"
"4524","Prss59"
"4525","Moxd2"
"4526","Mad2l1"
"4527","Clec5a"
"4528","Agk"
"4529","Qrfprl"
"4530","Mrps33"
"4531","Smarcad1"
"4532","Mkrn1"
"4533","Gfpt1"
"4534","Nfu1"
"4535","Pcyox1"
"4536","Cct7"
"4537","Pradc1"
"4538","Zfp638"
"4539","Fbxl14"
"4540","Prickle2"
"4541","Lrig1"
"4542","1700003E16Rik"
"4543","Kbtbd8"
"4544","Ino80b"
"4545","Mrpl53"
"4546","Pole4"
"4547","Bmp10"
"4548","Gkn3"
"4549","Gkn1"
"4550","Aplf"
"4551","Gp9"
"4552","Isy1"
"4553","Cnbp"
"4554","Copg1"
"4555","Tmf1"
"4556","Hmces"
"4557","Uba3"
"4558","Rpn1"
"4559","Foxp1"
"4560","Cntn3"
"4561","Ruvbl1"
"4562","Sec61a1"
"4563","Abtb1"
"4564","Plxna1"
"4565","Aldh1l1"
"4566","Cntn6"
"4567","Wnt7a"
"4568","Slc6a6"
"4569","Sumf1"
"4570","Itpr1"
"4571","Bhlhe40"
"4572","Edem1"
"4573","Arl8b"
"4574","Mfap5"
"4575","Mlf2"
"4576","Ptms"
"4577","Tmcc1"
"4578","Cops7a"
"4579","Mug2"
"4580","Rasgef1a"
"4581","Bms1"
"4582","Clec4e"
"4583","Prb1c"
"4584","Clec4d"
"4585","Zfp248"
"4586","Clec4b1"
"4587","Clec4a2"
"4588","Klrk1"
"4589","Clec2e"
"4590","Clec12b"
"4591","Clec1b"
"4592","Klrd1"
"4593","Rad52"
"4594","Klrc1"
"4595","Adipor2"
"4596","Erc1"
"4597","Klra5"
"4598","Ccdc77"
"4599","Magohb"
"4600","Ybx3"
"4601","Tas2r116"
"4602","Tas2r103"
"4603","Etv6"
"4604","Lrp6"
"4605","Dusp16"
